Year,Cause Name,State,Deaths
2007,Unintentional injuries,Utah,811
2005,Unintentional injuries,Virginia,2638
1999,Unintentional injuries,Wisconsin,1955
2016,Unintentional injuries,Maryland,2271
2015,Alzheimer's disease,California,15065
2004,CLRD,Minnesota,1839
2003,Stroke,New York,7281
2008,Unintentional injuries,Connecticut,1386
2000,Unintentional injuries,District of Columbia,204
1999,Unintentional injuries,Florida,5961
2006,Unintentional injuries,Iowa,1188
2008,Unintentional injuries,Michigan,3685
2001,Unintentional injuries,United States,101537
2016,Alzheimer's disease,Arizona,3082
2015,Alzheimer's disease,Arizona,2943
2006,Alzheimer's disease,Arizona,2066
2016,Alzheimer's disease,Vermont,310
2008,CLRD,Maryland,1982
2016,CLRD,Minnesota,2369
2003,CLRD,Minnesota,1832
1999,CLRD,North Dakota,273
2016,CLRD,Utah,875
2006,Stroke,Connecticut,1547
2010,Stroke,Hawaii,605
2011,Stroke,Maine,630
2016,Stroke,South Dakota,420
2016,Stroke,Washington,2910
2011,Stroke,Washington,2557
2005,Unintentional injuries,District of Columbia,207
2015,Unintentional injuries,Illinois,4850
2001,Unintentional injuries,Indiana,2185
2009,Unintentional injuries,Michigan,3682
1999,Unintentional injuries,Minnesota,1772
2010,Unintentional injuries,Nebraska,700
2007,Unintentional injuries,Nebraska,674
2002,Unintentional injuries,Ohio,4146
2000,Unintentional injuries,Oregon,1248
2002,Unintentional injuries,Utah,714
2006,Unintentional injuries,Virginia,2703
2010,Alzheimer's disease,South Dakota,398
2004,CLRD,Massachusetts,2574
1999,CLRD,New Jersey,3130
2000,Diabetes,West Virginia,759
2007,Stroke,Arizona,2207
2016,Stroke,Nevada,1096
2012,Stroke,Vermont,281
2002,Unintentional injuries,Pennsylvania,4728
2014,Alzheimer's disease,Louisiana,1670
2014,CLRD,Minnesota,2277
2014,CLRD,Rhode Island,505
2011,Stroke,Nevada,889
2007,Stroke,New Jersey,3492
2013,Stroke,Wisconsin,2536
2012,Stroke,Wisconsin,2520
2016,Alzheimer's disease,California,15570
2016,Alzheimer's disease,Oklahoma,1590
2005,Alzheimer's disease,Tennessee,2033
2005,CLRD,Connecticut,1471
2003,CLRD,Connecticut,1445
2014,CLRD,North Dakota,317
2010,Stroke,Colorado,1607
2013,Stroke,Maryland,2315
2010,Stroke,Minnesota,2167
2006,Stroke,New Hampshire,494
2006,Unintentional injuries,Nebraska,683
2004,Unintentional injuries,Ohio,4234
2009,Unintentional injuries,Rhode Island,428
2014,Alzheimer's disease,North Dakota,364
2014,Alzheimer's disease,South Dakota,434
2015,Stroke,California,15065
2005,Stroke,Connecticut,1528
2013,Stroke,United States,128978
2010,Unintentional injuries,Michigan,3770
2009,Unintentional injuries,Minnesota,2037
2008,Unintentional injuries,Minnesota,2010
2005,Unintentional injuries,Minnesota,1922
2008,Unintentional injuries,Virginia,2820
2004,Unintentional injuries,Virginia,2630
2012,Alzheimer's disease,Tennessee,2434
2006,Alzheimer's disease,Tennessee,2115
2009,CLRD,Maryland,2064
2004,CLRD,Rhode Island,463
2006,Diabetes,Louisiana,1536
2015,Stroke,Idaho,641
2013,Stroke,Michigan,4373
2006,Stroke,New Jersey,3468
2001,Unintentional injuries,Maine,490
2005,Unintentional injuries,New Hampshire,477
2003,Unintentional injuries,Vermont,235
2015,CLRD,Minnesota,2351
2011,Stroke,California,13503
2014,Stroke,Montana,480
2013,Stroke,Nebraska,820
2015,Stroke,Vermont,307
2011,Unintentional injuries,Delaware,338
2002,Unintentional injuries,Delaware,292
2005,CLRD,Maryland,1908
2007,Stroke,Florida,8781
2012,Stroke,Maryland,2280
2014,Stroke,United States,133103
2007,Unintentional injuries,Michigan,3764
2006,Unintentional injuries,Rhode Island,434
2013,Alzheimer's disease,North Dakota,363
2012,Alzheimer's disease,North Dakota,364
2005,CLRD,Massachusetts,2647
2001,Unintentional injuries,Delaware,290
2010,Unintentional injuries,Maine,540
2014,Unintentional injuries,Massachusetts,2668
2012,Unintentional injuries,Michigan,3805
2015,Alzheimer's disease,North Dakota,376
2011,Alzheimer's disease,South Dakota,424
2011,CLRD,California,13357
2013,Stroke,Illinois,5294
2007,Stroke,Massachusetts,2832
2014,Stroke,Pennsylvania,6576
2005,Unintentional injuries,Iowa,1202
2010,Unintentional injuries,Minnesota,2103
2003,Unintentional injuries,Minnesota,1912
2009,Alzheimer's disease,South Dakota,403
2016,CLRD,Pennsylvania,6523
2015,Stroke,Alaska,182
2014,Stroke,Idaho,640
2009,Unintentional injuries,Delaware,333
2001,Unintentional injuries,Vermont,230
2014,Unintentional injuries,Virginia,3146
2002,Unintentional injuries,Washington,2203
2013,Alzheimer's disease,Tennessee,2536
2002,CLRD,Connecticut,1453
1999,CLRD,New York,7086
2015,CLRD,Rhode Island,510
2012,CLRD,Rhode Island,504
2012,CLRD,Virginia,3070
2016,Stroke,California,15680
2011,Stroke,Nebraska,810
2009,Stroke,Nevada,859
2012,Stroke,United States,128546
2001,Unintentional injuries,Oregon,1313
2003,Unintentional injuries,Washington,2239
2016,Unintentional injuries,Nebraska,772
2010,CLRD,California,12987
2007,CLRD,Illinois,4742
2014,CLRD,Pennsylvania,6422
2013,Stroke,Delaware,409
2015,Stroke,Nevada,1078
2016,Stroke,Pennsylvania,6730
2014,Stroke,Virginia,3229
2010,Stroke,Washington,2548
2009,Unintentional injuries,Iowa,1255
2001,Unintentional injuries,Nevada,739
2013,Unintentional injuries,Texas,9395
2003,Unintentional injuries,Virginia,2644
2016,Alzheimer's disease,South Dakota,449
2001,Alzheimer's disease,Washington,2050
2013,CLRD,Minnesota,2287
2011,CLRD,Minnesota,2170
2015,CLRD,Virginia,3370
2012,CLRD,Wisconsin,2524
2003,Diabetes,West Virginia,807
2015,Stroke,Florida,11433
2010,Stroke,Utah,739
2008,Unintentional injuries,Nebraska,714
2002,Unintentional injuries,United States,106742
2016,Alzheimer's disease,North Carolina,4153
2010,Alzheimer's disease,North Dakota,361
2016,Stroke,Idaho,682
2012,Stroke,Idaho,610
2011,Stroke,North Dakota,337
2008,Stroke,North Dakota,325
2013,Stroke,Pennsylvania,6604
2011,Stroke,Wisconsin,2554
2011,Stroke,Wyoming,214
2010,Stroke,Wyoming,204
2010,Unintentional injuries,Iowa,1273
2006,CLRD,Illinois,4731
2004,CLRD,Maryland,1910
2008,CLRD,Rhode Island,478
2013,CLRD,Virginia,3181
2016,CLRD,Washington,3036
2016,Stroke,Florida,11854
2012,Stroke,Michigan,4414
2012,Stroke,North Dakota,343
2013,Stroke,Oregon,1775
2016,Stroke,United States,142142
2000,Unintentional injuries,Florida,6267
1999,Unintentional injuries,Nebraska,668
2010,Unintentional injuries,New Hampshire,517
2014,Unintentional injuries,Texas,9723
2014,Alzheimer's disease,South Carolina,1938
2008,Alzheimer's disease,South Dakota,402
2005,CLRD,Minnesota,1965
2001,Diabetes,District of Columbia,209
2008,Stroke,Colorado,1565
2014,Stroke,Illinois,5489
2014,Stroke,Oregon,1821
2012,Stroke,Pennsylvania,6546
2012,Stroke,South Dakota,408
2005,Unintentional injuries,Nebraska,704
2015,Unintentional injuries,Texas,9976
2012,Unintentional injuries,Texas,9313
2003,Alzheimer's disease,North Dakota,336
2009,CLRD,California,12936
2006,CLRD,Florida,8912
2006,Stroke,Arizona,2226
2015,Stroke,Oregon,1873
2012,Stroke,Oregon,1763
2000,Unintentional injuries,Delaware,290
2007,Unintentional injuries,Iowa,1252
2007,Unintentional injuries,Minnesota,2066
2009,Unintentional injuries,United States,118021
2001,Unintentional injuries,Wisconsin,2100
1999,CLRD,Utah,559
2015,Stroke,Michigan,4666
2013,Stroke,Montana,480
2015,Stroke,United States,140323
2009,Stroke,Utah,738
2002,Unintentional injuries,Minnesota,1928
2000,Unintentional injuries,Texas,7407
1999,Unintentional injuries,Texas,7227
2003,Unintentional injuries,United States,109277
2010,Unintentional injuries,Washington,2609
2001,Diabetes,West Virginia,802
2012,Stroke,Illinois,5337
2008,Stroke,Minnesota,2199
2005,Stroke,New Hampshire,497
2009,Stroke,Wisconsin,2501
2005,Unintentional injuries,Ohio,4438
2016,Alzheimer's disease,Texas,9135
2015,CLRD,Alaska,204
2006,CLRD,Alaska,140
1999,CLRD,Connecticut,1435
2008,CLRD,Minnesota,2096
2006,Stroke,Florida,8925
2016,Stroke,Illinois,5658
2015,Stroke,Maryland,2540
2011,Stroke,Maryland,2306
2016,Stroke,Oregon,1943
2012,Stroke,Utah,809
2011,Stroke,Utah,782
2008,Unintentional injuries,Iowa,1266
2010,Unintentional injuries,Oregon,1566
2008,Unintentional injuries,Utah,881
2002,Unintentional injuries,Vermont,240
2004,Alzheimer's disease,Washington,2233
2013,CLRD,Alaska,197
2006,CLRD,Delaware,344
2010,CLRD,Pennsylvania,6202
2014,CLRD,Washington,2916
2008,Stroke,Delaware,365
2014,Stroke,Michigan,4596
2011,Stroke,Montana,460
2002,Stroke,New York,7625
2007,Stroke,North Dakota,330
2011,Stroke,United States,128932
2014,Stroke,Utah,856
2003,Unintentional injuries,Pennsylvania,5014
2004,Unintentional injuries,Washington,2341
2016,CLRD,Florida,11970
2014,CLRD,Florida,11178
2006,CLRD,Virginia,2697
2010,CLRD,Wisconsin,2474
2010,Stroke,Iowa,1537
2009,Stroke,Maine,647
2014,Stroke,Maryland,2469
2013,Stroke,South Dakota,418
2007,Stroke,Vermont,269
2015,Stroke,Virginia,3393
2006,Unintentional injuries,Delaware,329
2000,Unintentional injuries,Kansas,1054
2003,Unintentional injuries,Maine,516
2011,Unintentional injuries,Michigan,3951
2003,Unintentional injuries,Nebraska,696
2010,Unintentional injuries,United States,120859
2014,Alzheimer's disease,Tennessee,2672
2016,CLRD,Illinois,5632
2004,CLRD,Illinois,4723
2015,CLRD,Pennsylvania,6664
2007,CLRD,Pennsylvania,6077
2006,CLRD,Rhode Island,485
2002,CLRD,Utah,603
2010,CLRD,Virginia,2969
2010,Stroke,California,13662
2013,Stroke,Kansas,1320
2006,Stroke,Massachusetts,2880
2006,Stroke,Vermont,264
2002,Unintentional injuries,Maine,511
2004,Unintentional injuries,North Dakota,274
2004,Unintentional injuries,United States,112012
2000,Unintentional injuries,Vermont,234
2011,Unintentional injuries,Washington,2709
2007,Alzheimer's disease,Tennessee,2276
2015,Alzheimer's disease,Texas,8903
2005,Alzheimer's disease,Washington,2309
2001,CLRD,Connecticut,1486
2015,CLRD,Illinois,5544
2013,CLRD,North Dakota,331
2004,Diabetes,West Virginia,840
2012,Stroke,Delaware,404
2015,Stroke,Hawaii,735
2009,Stroke,North Dakota,337
2013,Stroke,Utah,836
2006,Stroke,Utah,674
2005,Stroke,Vermont,260
2016,Stroke,Virginia,3502
2003,Unintentional injuries,Oregon,1401
2009,Unintentional injuries,Utah,899
2007,CLRD,California,12532
2001,CLRD,Delaware,306
2016,CLRD,South Dakota,426
2007,CLRD,Virginia,2770
2016,CLRD,Wisconsin,2786
2015,Stroke,District of Columbia,242
2008,Stroke,New Mexico,760
2008,Stroke,Vermont,281
2013,Unintentional injuries,Georgia,3727
2011,Unintentional injuries,Maine,574
2007,Unintentional injuries,Virginia,2931
2012,Unintentional injuries,Washington,2760
2015,CLRD,Florida,11705
2012,CLRD,Florida,10585
2004,CLRD,Louisiana,1615
2016,Stroke,District of Columbia,252
2015,Stroke,Illinois,5709
2007,Stroke,Minnesota,2193
2010,Stroke,New Mexico,806
2015,Stroke,Utah,888
2004,Unintentional injuries,District of Columbia,219
2001,Unintentional injuries,District of Columbia,223
2004,Unintentional injuries,Indiana,2395
1999,Unintentional injuries,Indiana,2309
2011,Unintentional injuries,New Hampshire,553
1999,Unintentional injuries,North Dakota,267
2002,Unintentional injuries,Oregon,1397
2010,Alzheimer's disease,Tennessee,2440
2011,CLRD,Florida,10279
2010,CLRD,Rhode Island,507
2009,CLRD,Wisconsin,2461
2006,CLRD,Wisconsin,2354
2009,Stroke,California,13506
2008,Stroke,District of Columbia,222
2005,Stroke,New Jersey,3614
2010,Unintentional injuries,Indiana,2534
1999,Unintentional injuries,Nevada,710
2016,Unintentional injuries,Texas,10536
2007,CLRD,Florida,9357
2012,CLRD,Illinois,5313
2000,CLRD,North Dakota,295
2004,CLRD,Pennsylvania,5978
2001,CLRD,Pennsylvania,5845
1999,CLRD,South Dakota,335
2011,CLRD,Virginia,3112
2007,CLRD,Wisconsin,2399
2011,Stroke,Illinois,5372
2016,Stroke,Kansas,1363
2015,Stroke,Kansas,1364
2011,Stroke,Michigan,4442
2013,Stroke,Virginia,3287
2009,Stroke,Washington,2591
2003,Unintentional injuries,Kansas,1089
2014,Unintentional injuries,Nebraska,781
2005,Diabetes,Louisiana,1695
2000,Unintentional injuries,Nevada,730
2011,Unintentional injuries,Texas,9410
2013,Unintentional injuries,Washington,2826
2014,CLRD,Alaska,192
2001,CLRD,Minnesota,1909
2012,CLRD,Pennsylvania,6550
2014,Stroke,Delaware,439
2011,Stroke,Idaho,623
2010,Stroke,Maryland,2279
2001,Stroke,New York,7706
2015,Stroke,Pennsylvania,6987
2014,Stroke,South Dakota,439
2016,Stroke,Utah,932
2010,Stroke,Wisconsin,2609
2012,Unintentional injuries,Delaware,374
2007,Unintentional injuries,Indiana,2499
2010,Unintentional injuries,North Dakota,285
2005,Unintentional injuries,Oregon,1469
2003,CLRD,Massachusetts,2765
2002,CLRD,Massachusetts,2745
2004,CLRD,Wisconsin,2312
2006,Unintentional injuries,Indiana,2480
2015,Unintentional injuries,Nebraska,799
2007,Unintentional injuries,North Dakota,279
2006,Unintentional injuries,North Dakota,275
2004,Unintentional injuries,Oregon,1444
2000,Unintentional injuries,Wisconsin,2159
2009,Alzheimer's disease,North Dakota,366
2002,Alzheimer's disease,Washington,2195
2000,CLRD,Minnesota,1902
2003,CLRD,Rhode Island,495
2016,Stroke,Alaska,196
2007,Stroke,District of Columbia,220
2009,Stroke,Illinois,5258
2014,Stroke,Kansas,1363
2016,Stroke,Michigan,4874
2007,Stroke,Montana,443
1999,Unintentional injuries,Colorado,1519
2012,Unintentional injuries,Georgia,3731
2009,Unintentional injuries,Nevada,1025
2007,Unintentional injuries,New Hampshire,527
2010,Unintentional injuries,Texas,9212
2012,CLRD,Delaware,420
2004,CLRD,Florida,8971
2003,CLRD,North Dakota,302
2003,CLRD,Wisconsin,2299
2006,Stroke,Colorado,1532
2004,Stroke,Connecticut,1635
2015,Stroke,Indiana,2959
2008,Stroke,South Dakota,396
2010,Stroke,United States,129476
2013,Unintentional injuries,Florida,8736
2012,Unintentional injuries,Minnesota,2301
2011,Unintentional injuries,North Dakota,298
2004,Unintentional injuries,Pennsylvania,5200
2012,Unintentional injuries,United States,127792
2011,Unintentional injuries,United States,126438
2014,CLRD,Illinois,5631
2002,CLRD,Minnesota,1971
2003,CLRD,Pennsylvania,6046
2010,Unintentional injuries,Delaware,357
2016,Alzheimer's disease,Utah,904
2006,Alzheimer's disease,Washington,2470
2013,CLRD,Illinois,5532
2016,CLRD,New Hampshire,684
2013,CLRD,Pennsylvania,6716
2005,CLRD,Pennsylvania,6149
2002,CLRD,Pennsylvania,6017
2013,CLRD,South Dakota,416
2015,CLRD,Wisconsin,2846
2014,CLRD,Wisconsin,2759
2000,Diabetes,District of Columbia,221
2004,Stroke,District of Columbia,218
2010,Stroke,Illinois,5349
2006,Stroke,New Mexico,739
2010,Stroke,Pennsylvania,6701
2013,Unintentional injuries,Connecticut,1582
2009,Unintentional injuries,Indiana,2577
2005,Unintentional injuries,Indiana,2480
2009,Unintentional injuries,Oregon,1598
2008,Unintentional injuries,United States,121902
2012,Alzheimer's disease,South Dakota,460
2010,CLRD,Illinois,5231
2002,CLRD,Maryland,1944
2013,CLRD,Washington,2933
2011,Stroke,Alaska,168
2015,Stroke,Delaware,466
2012,Stroke,Kansas,1343
2009,Stroke,Maryland,2288
2006,Unintentional injuries,District of Columbia,224
2014,Unintentional injuries,Minnesota,2385
2009,Unintentional injuries,Pennsylvania,5477
2013,Unintentional injuries,United States,130557
2004,Unintentional injuries,Vermont,253
2009,Unintentional injuries,Washington,2696
2011,Alzheimer's disease,Tennessee,2589
2004,CLRD,Alaska,139
2003,CLRD,Illinois,4858
2001,CLRD,Illinois,4776
2003,CLRD,Maryland,1986
2001,CLRD,Maryland,1907
2011,CLRD,Rhode Island,526
2016,CLRD,Texas,10107
2011,CLRD,Wisconsin,2615
2002,Diabetes,West Virginia,846
2007,Stroke,Colorado,1600
2016,Stroke,Indiana,3040
2010,Stroke,Michigan,4474
2009,Stroke,Montana,462
2008,Unintentional injuries,Indiana,2558
2006,Unintentional injuries,Pennsylvania,5299
2005,Unintentional injuries,United States,117809
2002,CLRD,Illinois,4827
2011,CLRD,North Dakota,342
2001,CLRD,North Dakota,308
2009,CLRD,Pennsylvania,6432
2009,CLRD,Virginia,3013
1999,Diabetes,District of Columbia,221
2011,Stroke,Pennsylvania,6825
2009,Stroke,United States,128842
2008,Unintentional injuries,Delaware,352
2011,Unintentional injuries,Iowa,1369
2015,Unintentional injuries,Virginia,3429
2000,CLRD,Illinois,4768
2011,CLRD,Pennsylvania,6627
2015,CLRD,Washington,3154
2011,Stroke,Kansas,1338
2016,Stroke,Maryland,2709
2006,Stroke,Minnesota,2219
2008,Stroke,Utah,748
2012,Unintentional injuries,Iowa,1369
2004,Unintentional injuries,Nebraska,743
2005,Unintentional injuries,North Dakota,287
2004,Unintentional injuries,Texas,8323
2001,Unintentional injuries,Texas,7920
2004,Unintentional injuries,Wisconsin,2303
2009,CLRD,Rhode Island,511
2005,Stroke,Massachusetts,2977
2009,Stroke,Michigan,4435
2007,Stroke,Nevada,850
2004,Stroke,Rhode Island,522
2012,Unintentional injuries,Nebraska,792
2008,Alzheimer's disease,Tennessee,2423
2008,CLRD,California,13426
2013,CLRD,Florida,11379
2011,CLRD,Illinois,5390
2008,CLRD,Wisconsin,2538
2004,Diabetes,Louisiana,1717
2013,Stroke,Ohio,5690
2005,Stroke,Rhode Island,533
2010,Stroke,South Dakota,416
2012,Unintentional injuries,Florida,8770
2011,Unintentional injuries,Minnesota,2319
2003,Unintentional injuries,North Dakota,282
2012,Unintentional injuries,Oregon,1709
2007,CLRD,Louisiana,1685
2015,CLRD,North Dakota,351
2006,Stroke,District of Columbia,221
2014,Stroke,Ohio,5791
2013,Unintentional injuries,Iowa,1422
2008,Unintentional injuries,Kansas,1174
2009,Unintentional injuries,Wisconsin,2449
2006,CLRD,California,12829
2000,CLRD,Connecticut,1533
2010,CLRD,Florida,10337
2014,CLRD,Oregon,1955
2006,CLRD,South Dakota,376
2009,Stroke,Nebraska,857
2005,Stroke,New Mexico,730
2010,Stroke,Oregon,1793
2008,Stroke,Wisconsin,2638
2014,Unintentional injuries,Georgia,3963
2013,Unintentional injuries,Michigan,4225
2013,Unintentional injuries,Minnesota,2405
2012,Unintentional injuries,New Hampshire,573
2013,Unintentional injuries,Oregon,1755
2010,Unintentional injuries,Rhode Island,475
2014,Unintentional injuries,Washington,2997
2002,Unintentional injuries,Wisconsin,2274
2014,CLRD,Delaware,458
1999,CLRD,Louisiana,1610
2001,CLRD,Massachusetts,2810
2002,CLRD,Wisconsin,2335
2004,Diabetes,District of Columbia,224
2009,Stroke,South Dakota,418
2007,Stroke,South Dakota,410
2013,Stroke,Texas,9283
2015,Unintentional injuries,District of Columbia,265
2011,Unintentional injuries,Georgia,3785
2014,Unintentional injuries,Nevada,1166
2009,Unintentional injuries,Texas,9349
2006,Unintentional injuries,United States,121599
2007,Unintentional injuries,Washington,2637
2009,CLRD,Florida,10182
2000,CLRD,Florida,8645
2009,CLRD,Illinois,5299
2000,CLRD,Pennsylvania,6079
2013,CLRD,Wisconsin,2789
2005,Stroke,Florida,9361
2008,Stroke,Montana,466
2004,CLRD,Delaware,345
2005,CLRD,Florida,9482
2003,CLRD,Florida,9087
2005,CLRD,Illinois,5067
2016,CLRD,Oregon,2080
2000,CLRD,Rhode Island,500
2004,CLRD,Virginia,2730
2010,CLRD,Washington,2737
2007,Stroke,Delaware,374
2016,Stroke,Kentucky,2057
2008,Stroke,Maine,671
2007,Stroke,Maine,664
2016,Stroke,Missouri,3069
2012,Unintentional injuries,Maine,602
2008,Unintentional injuries,Texas,9189
2005,Unintentional injuries,Texas,8598
2002,Unintentional injuries,Texas,8232
2007,Unintentional injuries,United States,123706
2005,Unintentional injuries,Washington,2543
2007,CLRD,Delaware,379
2014,CLRD,Texas,9668
2014,CLRD,United States,147101
1999,CLRD,Wisconsin,2270
2011,Stroke,Delaware,418
2010,Stroke,Nebraska,876
2007,Stroke,Wyoming,209
2001,Unintentional injuries,Florida,6969
2006,Unintentional injuries,Ohio,4821
2014,Unintentional injuries,United States,135928
2004,CLRD,California,12522
2003,CLRD,Delaware,339
2005,CLRD,Rhode Island,523
1999,CLRD,Rhode Island,495
2016,CLRD,United States,154596
2008,CLRD,Virginia,3023
2013,Stroke,Missouri,2935
2016,Stroke,Ohio,5987
2011,Unintentional injuries,Indiana,2699
2005,Unintentional injuries,Kansas,1149
2004,Unintentional injuries,Kansas,1144
2011,Unintentional injuries,Oregon,1722
2008,Unintentional injuries,Rhode Island,480
2010,Unintentional injuries,Utah,970
2015,Alzheimer's disease,Utah,906
2016,Alzheimer's disease,Washington,3269
2005,CLRD,Wisconsin,2449
2013,Stroke,Alaska,189
2010,Stroke,Delaware,407
2008,Stroke,Hawaii,642
2013,Stroke,Indiana,2996
2015,Stroke,Ohio,5945
2009,Stroke,Pennsylvania,6842
2012,Stroke,Virginia,3394
2013,Stroke,West Virginia,983
2010,Unintentional injuries,Georgia,3745
1999,Unintentional injuries,Kansas,1126
2009,Unintentional injuries,South Dakota,349
2016,Unintentional injuries,New Jersey,3839
2006,CLRD,Louisiana,1687
2014,CLRD,South Dakota,441
2006,CLRD,Texas,7639
2015,Stroke,Kentucky,2050
2015,Stroke,Missouri,3037
2008,Stroke,Nevada,906
2004,Stroke,New Jersey,3781
2003,Unintentional injuries,District of Columbia,233
2000,Unintentional injuries,Georgia,3103
2002,Unintentional injuries,Kansas,1139
2006,Unintentional injuries,Maine,572
2006,Unintentional injuries,Oregon,1586
2007,Unintentional injuries,Pennsylvania,5568
2005,Unintentional injuries,Pennsylvania,5446
2003,Unintentional injuries,Texas,8425
2008,Unintentional injuries,Washington,2727
2010,Unintentional injuries,Wisconsin,2525
2008,Unintentional injuries,Wisconsin,2484
2012,CLRD,Alaska,189
2002,CLRD,Florida,9062
2000,CLRD,Maryland,1927
2003,Diabetes,Louisiana,1740
2010,Stroke,Alaska,167
2000,Stroke,New York,8006
2014,Unintentional injuries,Connecticut,1641
2009,Unintentional injuries,Maine,602
2016,Unintentional injuries,Illinois,5508
2006,CLRD,United States,124583
2012,CLRD,Washington,2955
2009,Stroke,Hawaii,671
2014,Stroke,Missouri,3030
2008,Stroke,Nebraska,863
2014,Unintentional injuries,Oregon,1803
2003,Unintentional injuries,Wisconsin,2345
2008,CLRD,Florida,10198
1999,CLRD,Pennsylvania,6141
2000,CLRD,Wisconsin,2316
2004,Stroke,New Mexico,721
2012,Unintentional injuries,North Dakota,318
2010,Unintentional injuries,Pennsylvania,5751
2001,CLRD,Florida,8954
2002,CLRD,Louisiana,1696
2014,CLRD,Vermont,333
2008,Stroke,California,14048
2005,Stroke,District of Columbia,231
2009,Stroke,Iowa,1635
2010,Stroke,Kansas,1370
2012,Stroke,Ohio,5788
2000,Unintentional injuries,South Dakota,321
2016,Alzheimer's disease,Arkansas,1475
1999,CLRD,Minnesota,1994
2014,CLRD,New Hampshire,680
2001,CLRD,Rhode Island,511
2015,CLRD,Texas,10231
2016,CLRD,Vermont,355
2006,Stroke,Nevada,847
2007,Stroke,New Mexico,804
2011,Stroke,Ohio,5691
2007,Stroke,Utah,755
2010,Unintentional injuries,Nevada,1088
2007,Unintentional injuries,Ohio,4922
2016,Unintentional injuries,Washington,3221
2003,Alzheimer's disease,Washington,2380
2003,CLRD,Louisiana,1731
2007,CLRD,United States,127924
2000,Diabetes,Louisiana,1694
2005,Stroke,Arizona,2364
2013,Stroke,Georgia,3694
2008,Stroke,Maryland,2330
2014,Unintentional injuries,Florida,9432
2012,Unintentional injuries,Indiana,2776
2007,Unintentional injuries,Kansas,1205
2001,Unintentional injuries,Kansas,1156
2015,Alzheimer's disease,Arkansas,1457
2011,Alzheimer's disease,North Dakota,410
2016,CLRD,Alaska,238
2010,CLRD,Alaska,176
2011,CLRD,Louisiana,1904
2002,CLRD,Rhode Island,521
2012,CLRD,United States,143489
2006,Stroke,Maine,670
1999,Unintentional injuries,Georgia,3078
2000,Unintentional injuries,Idaho,518
2006,Unintentional injuries,Washington,2679
1999,CLRD,Maryland,1943
1999,CLRD,Massachusetts,2862
2009,CLRD,North Dakota,341
2015,CLRD,United States,155041
2004,CLRD,United States,121987
2001,CLRD,Wisconsin,2375
2016,Stroke,Delaware,506
2009,Stroke,Idaho,627
2008,Stroke,Idaho,609
2011,Stroke,Oregon,1913
2014,Stroke,Texas,9898
2001,Unintentional injuries,Colorado,1720
2007,Unintentional injuries,Maine,584
2006,Unintentional injuries,Texas,9140
2000,CLRD,Louisiana,1684
2010,CLRD,New Hampshire,609
2001,CLRD,South Dakota,362
2014,Stroke,Indiana,3107
2013,Stroke,Kentucky,1990
2006,Stroke,Montana,461
2011,Stroke,Virginia,3347
2016,Stroke,West Virginia,1039
2006,Unintentional injuries,Kansas,1198
2005,Unintentional injuries,Maine,579
2014,Unintentional injuries,Michigan,4422
2002,Unintentional injuries,Nebraska,762
2002,Unintentional injuries,Nevada,860
2013,Unintentional injuries,North Dakota,326
2008,Unintentional injuries,Oregon,1674
2015,Alzheimer's disease,Alabama,2282
2007,Alzheimer's disease,Washington,2689
2011,CLRD,Alaska,194
2005,CLRD,California,13188
2004,CLRD,Michigan,4252
2002,CLRD,North Dakota,322
2005,CLRD,Virginia,2897
1999,Diabetes,Louisiana,1687
2009,Stroke,Alaska,162
2004,Stroke,Delaware,350
2012,Stroke,Georgia,3636
2014,Stroke,Kentucky,2050
2010,Stroke,Montana,494
2009,Stroke,Ohio,5576
2016,Stroke,Oklahoma,1859
2012,Stroke,Texas,9305
2007,Unintentional injuries,Oregon,1646
2015,CLRD,New Hampshire,705
2004,CLRD,Texas,7402
2001,Diabetes,Louisiana,1734
2007,Stroke,Hawaii,643
2008,Stroke,Pennsylvania,6942
2011,Stroke,Texas,9065
2000,Unintentional injuries,Missouri,2398
2013,Unintentional injuries,Nevada,1184
2003,Unintentional injuries,Nevada,911
2015,Unintentional injuries,Washington,3192
2007,Alzheimer's disease,North Dakota,395
2013,CLRD,New Hampshire,668
2004,CLRD,New Mexico,753
2008,CLRD,Pennsylvania,6767
2010,Stroke,Idaho,642
2016,Stroke,Texas,10673
2011,Unintentional injuries,Florida,8901
2002,Unintentional injuries,Florida,7396
2008,Unintentional injuries,Georgia,3774
2015,Unintentional injuries,Minnesota,2574
2007,Unintentional injuries,Texas,9392
1999,Unintentional injuries,West Virginia,798
2000,CLRD,Massachusetts,2925
2013,CLRD,United States,149205
2008,Stroke,United States,134148
2010,Stroke,Virginia,3293
2007,Stroke,Washington,2692
2004,Unintentional injuries,Colorado,1810
2009,Unintentional injuries,Georgia,3812
2010,Unintentional injuries,Idaho,654
2015,Unintentional injuries,Iowa,1537
2014,Unintentional injuries,Iowa,1517
1999,Unintentional injuries,North Carolina,3290
2008,Unintentional injuries,Pennsylvania,5787
2005,Unintentional injuries,Vermont,272
2014,CLRD,Arizona,3396
2004,CLRD,Nebraska,815
2012,CLRD,Oregon,1915
2007,CLRD,Texas,8107
2010,CLRD,United States,138080
2002,CLRD,Virginia,2752
2012,Stroke,Missouri,2989
2002,Stroke,New Mexico,715
1999,Stroke,New York,8124
2011,CLRD,Texas,9097
2015,CLRD,Vermont,357
2002,Diabetes,Louisiana,1774
